[Section]
[element_id]  [A]  [I_x]  [I_y]  [I_z]  [J_t]  [kappa]  [alpha]  [y_sc]  [z_sc]  [Gamma]
0  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

1  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

2  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

3  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

4  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

5  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

6  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

7  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

8  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

9  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

10  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

11  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

12  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

13  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

14  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

15  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

16  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

17  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

18  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

19  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

20  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

21  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

22  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

23  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

24  0.00131  0.0  3.23400e-07  2.08769e-06  2.60673e-08  0.83333333333333337  0.0015936564885496184  0.0  0.0  1.0e-8

