job_id,x,V_fem_N,V_roark_N,error_V_N,M_fem_Nm,M_roark_Nm,error_M_Nm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.960937502025000185e+02,1.000000000000000000e+03,-1.996093750202499905e+03
0.000000000000000000e+00,1.562500000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.921875002064000455e+02,9.921875000000000000e+02,-1.984375000206400045e+03
0.000000000000000000e+00,3.125000000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.843750002140000106e+02,9.843750000000000000e+02,-1.968750000214000011e+03
0.000000000000000000e+00,4.687500000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.765625002217000201e+02,9.765625000000000000e+02,-1.953125000221700020e+03
0.000000000000000000e+00,6.250000000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.687500002294000296e+02,9.687500000000000000e+02,-1.937500000229400030e+03
0.000000000000000000e+00,7.812500000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.609375002371000392e+02,9.609375000000000000e+02,-1.921875000237100039e+03
0.000000000000000000e+00,9.375000000000000000e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.531250002448000487e+02,9.531250000000000000e+02,-1.906250000244800049e+03
0.000000000000000000e+00,1.093750000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.453125002524999445e+02,9.453125000000000000e+02,-1.890625000252499831e+03
0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.375000002601999540e+02,9.375000000000000000e+02,-1.875000000260200068e+03
0.000000000000000000e+00,1.406250000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.296875002678999635e+02,9.296875000000000000e+02,-1.859375000267899850e+03
0.000000000000000000e+00,1.562500000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.218750002757000175e+02,9.218750000000000000e+02,-1.843750000275700131e+03
0.000000000000000000e+00,1.718750000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.140625002834999577e+02,9.140625000000000000e+02,-1.828125000283499958e+03
0.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.062500002911999673e+02,9.062500000000000000e+02,-1.812500000291199967e+03
0.000000000000000000e+00,2.031250000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.984375002990000212e+02,8.984375000000000000e+02,-1.796875000299000021e+03
0.000000000000000000e+00,2.187500000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.906250003067000307e+02,8.906250000000000000e+02,-1.781250000306700031e+03
0.000000000000000000e+00,2.343750000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.828125003144999710e+02,8.828125000000000000e+02,-1.765625000314500085e+03
0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.750000003220000053e+02,8.750000000000000000e+02,-1.750000000322000005e+03
0.000000000000000000e+00,2.656250000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.671875003297000148e+02,8.671875000000000000e+02,-1.734375000329700015e+03
0.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.593750003374999551e+02,8.593750000000000000e+02,-1.718750000337499841e+03
0.000000000000000000e+00,2.968750000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.515625003448000143e+02,8.515625000000000000e+02,-1.703125000344799901e+03
0.000000000000000000e+00,3.125000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.437500003523999794e+02,8.437500000000000000e+02,-1.687500000352400093e+03
0.000000000000000000e+00,3.281250000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.359375003597999694e+02,8.359375000000000000e+02,-1.671875000359799969e+03
