[Grid]
[node_id]   [x]         [y]       [z]       
0           0.000000    0.0       0.0       
1           0.008000    0.0       0.0       
2           0.016000    0.0       0.0       
3           0.024000    0.0       0.0       
4           0.032000    0.0       0.0       
5           0.040000    0.0       0.0       
6           0.048000    0.0       0.0       
7           0.056000    0.0       0.0       
8           0.064000    0.0       0.0       
9           0.072000    0.0       0.0       
10          0.080000    0.0       0.0       
11          0.088000    0.0       0.0       
12          0.096000    0.0       0.0       
13          0.104000    0.0       0.0       
14          0.112000    0.0       0.0       
15          0.120000    0.0       0.0       
16          0.128000    0.0       0.0       
17          0.136000    0.0       0.0       
18          0.144000    0.0       0.0       
19          0.152000    0.0       0.0       
20          0.160000    0.0       0.0       
21          0.168000    0.0       0.0       
22          0.176000    0.0       0.0       
23          0.184000    0.0       0.0       
24          0.192000    0.0       0.0       
25          0.200000    0.0       0.0       
26          0.208000    0.0       0.0       
27          0.216000    0.0       0.0       
28          0.224000    0.0       0.0       
29          0.232000    0.0       0.0       
30          0.240000    0.0       0.0       
31          0.248000    0.0       0.0       
32          0.256000    0.0       0.0       
33          0.264000    0.0       0.0       
34          0.272000    0.0       0.0       
35          0.280000    0.0       0.0       
36          0.288000    0.0       0.0       
37          0.296000    0.0       0.0       
38          0.304000    0.0       0.0       
39          0.312000    0.0       0.0       
40          0.320000    0.0       0.0       
41          0.328000    0.0       0.0       
42          0.336000    0.0       0.0       
43          0.344000    0.0       0.0       
44          0.352000    0.0       0.0       
45          0.360000    0.0       0.0       
46          0.368000    0.0       0.0       
47          0.376000    0.0       0.0       
48          0.384000    0.0       0.0       
49          0.392000    0.0       0.0       
50          0.400000    0.0       0.0       
51          0.408000    0.0       0.0       
52          0.416000    0.0       0.0       
53          0.424000    0.0       0.0       
54          0.432000    0.0       0.0       
55          0.440000    0.0       0.0       
56          0.448000    0.0       0.0       
57          0.456000    0.0       0.0       
58          0.464000    0.0       0.0       
59          0.472000    0.0       0.0       
60          0.480000    0.0       0.0       
61          0.488000    0.0       0.0       
62          0.496000    0.0       0.0       
63          0.504000    0.0       0.0       
64          0.512000    0.0       0.0       
65          0.520000    0.0       0.0       
66          0.528000    0.0       0.0       
67          0.536000    0.0       0.0       
68          0.544000    0.0       0.0       
69          0.552000    0.0       0.0       
70          0.560000    0.0       0.0       
71          0.568000    0.0       0.0       
72          0.576000    0.0       0.0       
73          0.584000    0.0       0.0       
74          0.592000    0.0       0.0       
75          0.600000    0.0       0.0       
76          0.608000    0.0       0.0       
77          0.616000    0.0       0.0       
78          0.624000    0.0       0.0       
79          0.632000    0.0       0.0       
80          0.640000    0.0       0.0       
81          0.648000    0.0       0.0       
82          0.656000    0.0       0.0       
83          0.664000    0.0       0.0       
84          0.672000    0.0       0.0       
85          0.680000    0.0       0.0       
86          0.688000    0.0       0.0       
87          0.696000    0.0       0.0       
88          0.704000    0.0       0.0       
89          0.712000    0.0       0.0       
90          0.720000    0.0       0.0       
91          0.728000    0.0       0.0       
92          0.736000    0.0       0.0       
93          0.744000    0.0       0.0       
94          0.752000    0.0       0.0       
95          0.760000    0.0       0.0       
96          0.768000    0.0       0.0       
97          0.776000    0.0       0.0       
98          0.784000    0.0       0.0       
99          0.792000    0.0       0.0       
100         0.800000    0.0       0.0       
101         0.808000    0.0       0.0       
102         0.816000    0.0       0.0       
103         0.824000    0.0       0.0       
104         0.832000    0.0       0.0       
105         0.840000    0.0       0.0       
106         0.848000    0.0       0.0       
107         0.856000    0.0       0.0       
108         0.864000    0.0       0.0       
109         0.872000    0.0       0.0       
110         0.880000    0.0       0.0       
111         0.888000    0.0       0.0       
112         0.896000    0.0       0.0       
113         0.904000    0.0       0.0       
114         0.912000    0.0       0.0       
115         0.920000    0.0       0.0       
116         0.928000    0.0       0.0       
117         0.936000    0.0       0.0       
118         0.944000    0.0       0.0       
119         0.952000    0.0       0.0       
120         0.960000    0.0       0.0       
121         0.968000    0.0       0.0       
122         0.976000    0.0       0.0       
123         0.984000    0.0       0.0       
124         0.992000    0.0       0.0       
125         1.000000    0.0       0.0       
126         1.008000    0.0       0.0       
127         1.016000    0.0       0.0       
128         1.024000    0.0       0.0       
129         1.032000    0.0       0.0       
130         1.040000    0.0       0.0       
131         1.048000    0.0       0.0       
132         1.056000    0.0       0.0       
133         1.064000    0.0       0.0       
134         1.072000    0.0       0.0       
135         1.080000    0.0       0.0       
136         1.088000    0.0       0.0       
137         1.096000    0.0       0.0       
138         1.104000    0.0       0.0       
139         1.112000    0.0       0.0       
