[Grid]
[node_id]   [x]         [y]       [z]       
0           0.000000    0.0       0.0       
1           0.040000    0.0       0.0       
2           0.080000    0.0       0.0       
3           0.120000    0.0       0.0       
4           0.160000    0.0       0.0       
5           0.200000    0.0       0.0       
6           0.240000    0.0       0.0       
7           0.280000    0.0       0.0       
8           0.320000    0.0       0.0       
9           0.360000    0.0       0.0       
10          0.400000    0.0       0.0       
11          0.440000    0.0       0.0       
12          0.480000    0.0       0.0       
13          0.520000    0.0       0.0       
14          0.560000    0.0       0.0       
15          0.600000    0.0       0.0       
16          0.640000    0.0       0.0       
17          0.680000    0.0       0.0       
18          0.720000    0.0       0.0       
19          0.760000    0.0       0.0       
20          0.800000    0.0       0.0       
21          0.840000    0.0       0.0       
22          0.880000    0.0       0.0       
23          0.920000    0.0       0.0       
24          0.960000    0.0       0.0       
25          1.000000    0.0       0.0       
26          1.040000    0.0       0.0       
27          1.080000    0.0       0.0       
28          1.120000    0.0       0.0       
29          1.160000    0.0       0.0       
30          1.200000    0.0       0.0       
31          1.240000    0.0       0.0       
32          1.280000    0.0       0.0       
33          1.320000    0.0       0.0       
34          1.360000    0.0       0.0       
35          1.400000    0.0       0.0       
36          1.440000    0.0       0.0       
37          1.480000    0.0       0.0       
38          1.520000    0.0       0.0       
39          1.560000    0.0       0.0       
40          1.600000    0.0       0.0       
41          1.640000    0.0       0.0       
42          1.680000    0.0       0.0       
43          1.720000    0.0       0.0       
44          1.760000    0.0       0.0       
45          1.800000    0.0       0.0       
46          1.840000    0.0       0.0       
47          1.880000    0.0       0.0       
48          1.920000    0.0       0.0       
49          1.960000    0.0       0.0       
50          2.000000    0.0       0.0       
